Species	M00003;M00020;M00025;M00037;M00040;M00052;M00079;M00081;M00117;M00120;M00344;M00549;M00550;M00790;M00823;M00842;M00843;M00855;M00892;M00921	EventOccured
node0_	6.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.5;0.0;0.5;0.0;0.0;0.0;0.5;0.5;0.0;1.0;1.0	0
node0_	6.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.5;0.0;0.5;0.0;0.0;0.0;0.5;0.5;0.0;1.0;1.0	0
node897_	6.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5	0
node897_	6.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5	0
node899_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5	0
node899_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5	0
node898_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0	0
node898_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0	0
node1_	6.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.5;1.5;0.0;1.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;1.0	0
node1_	6.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.5;1.5;0.0;1.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;1.0	0
node2_	6.5;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.5;2.0;0.0;1.5;0.0;0.0;0.0;0.5;0.5;0.5;1.0;1.0	0
