Species	M00003;M00020;M00025;M00037;M00040;M00052;M00079;M00081;M00117;M00120;M00344;M00549;M00550;M00790;M00823;M00842;M00843;M00855;M00892;M00921	EventOccured	phylum
node53_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	1	p__Halobacteriota
node198_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0	1	p__Halobacteriota
node336_	6.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	1	p__Halobacteriota
node178_	8.0;2.0;1.0;1.0;0.0;3.0;0.0;1.0;0.0;2.0;2.0;0.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0	1	p__Halobacteriota
node360_	6.5;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0	1	p__Halobacteriota
node57_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	1	p__Halobacteriota
node301_	6.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0	0	p__Halobacteriota
node186_	9.0;2.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0	0	p__Halobacteriota
node354_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;2.0;1.0	0	p__Halobacteriota
node282_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0	0	p__Halobacteriota
node83_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;1.5;0.0;0.0;0.0;1.0;1.0;0.5;2.0;0.0	0	p__Halobacteriota
node410_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0	0	p__Halobacteriota
node182_	8.0;2.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node184_	9.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node444_	8.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.5;0.0;0.5;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0	0	p__Halobacteriota
node125_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node59_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	0	p__Halobacteriota
node62_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0	0	p__Halobacteriota
node267_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.5;2.0;1.0;0.0;1.5;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node332_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.5;2.0;0.0	0	p__Halobacteriota
node369_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;2.0;0.5;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0	0	p__Halobacteriota
node391_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0	0	p__Halobacteriota
node441_	9.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.5;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0	0	p__Halobacteriota
node20_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0	0	p__Halobacteriota
node118_	9.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node454_	6.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.5;2.0;0.5;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0	0	p__Halobacteriota
node19_	7.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0	0	p__Halobacteriota
node426_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0	0	p__Halobacteriota
node265_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;0.5;0.5;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node316_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0	0	p__Halobacteriota
node216_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node225_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node129_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node338_	6.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	0	p__Halobacteriota
node34_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	0	p__Halobacteriota
node130_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node446_	8.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;3.5;2.0;0.0;0.5;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0	0	p__Halobacteriota
node9_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0	0	p__Halobacteriota
node133_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node339_	7.5;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.5;0.0;0.0;1.5;1.5;0.0;2.0;0.0	0	p__Halobacteriota
node144_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node5_	7.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.5;1.0	0	p__Halobacteriota
node214_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node117_	9.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node60_	6.5;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.0;1.5;0.0;0.0;0.0;1.0;1.0;2.0;1.5;0.0	0	p__Halobacteriota
node20_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0	0	p__Halobacteriota
node312_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.5;0.0;2.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0	0	p__Halobacteriota
node345_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0	0	p__Halobacteriota
node383_	7.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0	0	p__Halobacteriota
node177_	8.0;2.0;1.0;1.0;0.0;3.0;0.0;1.0;0.0;2.0;2.0;0.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node12_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0	0	p__Halobacteriota
node106_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node270_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node38_	8.5;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0	0	p__Halobacteriota
node133_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Halobacteriota
node76_	7.5;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.5;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0	0	p__Halobacteriota
node271_	8.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node428_	7.0;3.0;1.0;0.0;0.0;3.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0	0	p__Halobacteriota
node285_	7.0;2.0;1.0;0.5;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node223_	7.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0	0	p__Halobacteriota
node717_	4.0;1.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0	1	p__Thermoproteota
node729_	7.0;1.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0	1	p__Thermoproteota
node783_	6.5;1.0;1.5;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.5;1.5;0.0;0.0;0.0;0.0;0.0;1.0;1.5;0.0	1	p__Thermoproteota
node757_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.5;0.0;1.0;0.0;0.0;0.0;1.5;1.5;1.0;2.0;0.0	0	p__Thermoproteota
node840_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0	0	p__Thermoproteota
node876_	7.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0	0	p__Thermoproteota
node682_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.5;0.5;0.5;2.0;1.0	0	p__Thermoproteota
node820_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0	p__Thermoproteota
node712_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;2.0;1.0	0	p__Thermoproteota
node809_	6.0;1.5;1.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0	0	p__Thermoproteota
node734_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0	0	p__Thermoproteota
node744_	6.0;2.0;0.0;0.0;0.0;2.5;0.5;0.0;1.0;1.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.5	0	p__Thermoproteota
node785_	7.0;2.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;2.0;0.5	0	p__Thermoproteota
node822_	6.0;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;0.5	0	p__Thermoproteota
node740_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0	0	p__Thermoproteota
node852_	7.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0	0	p__Thermoproteota
node690_	7.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0	0	p__Thermoproteota
node796_	7.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5;1.0;0.0	0	p__Thermoproteota
node775_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0	0	p__Thermoproteota
node727_	7.0;1.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0	0	p__Thermoproteota
node801_	6.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0	0	p__Thermoproteota
node741_	6.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0	0	p__Thermoproteota
