Species	md:M00543;path:map00073;path:map00440;path:map00563;path:map00984	EventOccured
untitled_19052	0.0;0.0;0.0;0.0;0.0	0
untitled_19052	0.0;0.0;0.0;0.0;0.0	0
untitled_19048	0.0;0.0;0.0;0.0;0.0	0
untitled_19048	0.0;0.0;0.0;0.0;0.0	0
untitled_19046	0.0;0.0;0.0;0.0;0.0	0
untitled_19046	0.0;0.0;0.0;0.0;0.0	0
untitled_18962	0.0;0.0;0.0;0.0;0.0	0
untitled_18962	0.0;0.0;0.0;0.0;0.0	0
untitled_18961	0.0;0.0;0.0;0.0;0.0	0
untitled_18961	0.0;0.0;0.0;0.0;0.0	0
untitled_18930	0.0;0.0;1.0;0.0;0.0	0
untitled_18930	0.0;0.0;1.0;0.0;0.0	0
untitled_18908	0.0;0.0;1.0;0.0;0.0	0
untitled_18908	0.0;0.0;1.0;0.0;0.0	0
untitled_18849	0.0;0.0;1.0;0.0;0.0	0
untitled_18849	0.0;0.0;1.0;0.0;0.0	0
Acidobacteriales	0.0;0.0;1.0;0.0;0.0	0
Acidobacteriales	0.0;0.0;1.0;0.0;0.0	1
Acidobacteriaceae	0.0;0.0;1.0;0.0;0.0	0
Acidobacteriaceae	0.0;0.0;1.0;0.0;0.0	0
untitled_18825	0.0;0.0;1.0;0.0;0.0	0
untitled_18825	0.0;0.0;1.0;0.0;0.0	0
Terriglobus	0.0;0.0;1.0;0.0;0.0	0
Terriglobus	0.0;0.0;1.0;0.0;0.0	0
untitled_18821	0.0;0.0;1.0;0.0;0.0	0
untitled_18821	0.0;0.0;1.0;0.0;0.0	0
untitled_18717	0.0;0.0;0.0;0.0;0.0	0
untitled_18717	0.0;0.0;0.0;0.0;0.0	0
untitled_18715	0.0;0.0;1.0;0.0;0.0	1
untitled_18715	0.0;0.0;1.0;0.0;0.0	0
untitled_18714	0.0;0.0;0.0;0.0;0.0	0
untitled_18714	0.0;0.0;0.0;0.0;0.0	0
untitled_18713	0.0;0.0;0.0;0.0;0.0	0
untitled_18713	0.0;0.0;0.0;0.0;0.0	0
Desulfobacterota_A	0.0;0.0;0.0;0.0;0.0	0
Desulfobacterota_A	0.0;0.0;0.0;0.0;0.0	0
Desulfovibrionaceae	0.0;0.0;0.0;0.0;0.0	0
Desulfovibrionaceae	0.0;0.0;0.0;0.0;0.0	0
untitled_18685	0.0;0.0;0.0;0.0;0.0	0
untitled_18685	0.0;0.0;0.0;0.0;0.0	0
untitled_18658	0.0;0.0;0.0;0.0;0.0	0
untitled_18658	0.0;0.0;0.0;0.0;0.0	0
untitled_18657	0.0;0.0;0.0;0.0;0.0	0
untitled_18657	0.0;0.0;0.0;0.0;0.0	0
untitled_18650	0.0;0.0;0.0;0.0;0.0	0
untitled_18650	0.0;0.0;0.0;0.0;0.0	0
untitled_18647	0.0;0.0;0.0;0.0;0.0	0
untitled_18647	0.0;0.0;0.0;0.0;0.0	0
untitled_18641	0.0;0.0;2.0;0.0;0.0	0
untitled_18641	0.0;0.0;2.0;0.0;0.0	0
untitled_18638	0.0;0.0;2.0;0.0;0.0	0
untitled_18638	0.0;0.0;2.0;0.0;0.0	0
untitled_18684	0.0;0.0;0.0;0.0;0.0	0
untitled_18684	0.0;0.0;0.0;0.0;0.0	0
untitled_18675	0.0;0.0;0.0;0.0;0.0	0
untitled_18675	0.0;0.0;0.0;0.0;0.0	0
untitled_18671	0.0;0.0;0.0;0.0;0.0	0
untitled_18671	0.0;0.0;0.0;0.0;0.0	0
untitled_18666	0.0;0.0;3.0;0.0;0.0	0
untitled_18666	0.0;0.0;3.0;0.0;0.0	0
untitled_18665	0.0;0.0;3.0;0.0;0.0	0
untitled_18665	0.0;0.0;3.0;0.0;0.0	0
untitled_18664	0.0;0.0;5.0;0.0;0.0	0
untitled_18664	0.0;0.0;5.0;0.0;0.0	0
untitled_18662	0.0;0.0;3.0;0.0;0.0	0
untitled_18662	0.0;0.0;3.0;0.0;0.0	0
untitled_18712	0.0;0.0;0.0;0.0;0.0	0
untitled_18712	0.0;0.0;0.0;0.0;0.0	0
Desulfomicrobium	0.0;0.0;0.0;0.0;0.0	0
Desulfomicrobium	0.0;0.0;0.0;0.0;0.0	0
untitled_18631	0.0;0.0;0.0;0.0;0.0	0
untitled_18631	0.0;0.0;0.0;0.0;0.0	0
untitled_18626	0.0;0.0;0.0;0.0;0.0	0
untitled_18626	0.0;0.0;0.0;0.0;0.0	0
Bdellovibrionota	0.0;0.0;0.0;0.0;0.0	0
Bdellovibrionota	0.0;0.0;0.0;0.0;0.0	0
untitled_18611	0.0;0.0;0.0;0.0;0.0	0
untitled_18611	0.0;0.0;0.0;0.0;0.0	0
untitled_18585	0.0;0.0;1.0;0.0;0.0	0
untitled_18585	0.0;0.0;1.0;0.0;0.0	0
untitled_18558	0.0;0.0;0.0;0.0;1.0	0
untitled_18558	0.0;0.0;0.0;0.0;1.0	0
untitled_18552	0.0;0.0;0.0;0.0;1.0	0
untitled_18552	0.0;0.0;0.0;0.0;1.0	0
Myxococcia	0.0;0.0;0.0;0.0;1.0	0
Myxococcia	0.0;0.0;0.0;0.0;1.0	0
untitled_18549	0.0;0.0;0.0;0.0;1.0	0
untitled_18549	0.0;0.0;0.0;0.0;1.0	0
untitled_18547	0.0;0.0;0.0;0.0;1.0	0
untitled_18547	0.0;0.0;0.0;0.0;1.0	0
Myxococcaceae	0.0;0.0;1.0;1.0;1.0	0
Myxococcaceae	0.0;0.0;1.0;1.0;1.0	0
untitled_18542	0.0;0.0;1.0;1.0;1.0	0
untitled_18542	0.0;0.0;1.0;1.0;1.0	0
untitled_18539	0.0;0.0;1.0;1.0;5.0	0
untitled_18539	0.0;0.0;1.0;1.0;5.0	0
untitled_18536	0.0;0.0;3.0;1.0;5.0	0
untitled_18536	0.0;0.0;3.0;1.0;5.0	0
untitled_18534	0.0;0.0;0.0;1.0;5.0	0
untitled_18534	0.0;0.0;0.0;1.0;5.0	0
Myxococcus	0.0;1.0;0.0;1.0;5.0	0
Myxococcus	0.0;1.0;0.0;1.0;5.0	1
untitled_18532	0.0;1.0;0.0;1.0;1.0	0
untitled_18532	0.0;1.0;0.0;1.0;1.0	0
untitled_18531	0.0;1.0;0.0;1.0;1.0	0
untitled_18531	0.0;1.0;0.0;1.0;1.0	0
Polyangia	0.0;0.0;0.0;0.0;1.0	0
Polyangia	0.0;0.0;0.0;0.0;1.0	0
Polyangiales	0.0;0.0;0.0;0.0;1.0	0
Polyangiales	0.0;0.0;0.0;0.0;1.0	0
Polyangiaceae	0.0;0.0;2.0;0.0;1.0	0
Polyangiaceae	0.0;0.0;2.0;0.0;1.0	0
untitled_18520	0.0;0.0;3.0;0.0;1.0	0
untitled_18520	0.0;0.0;3.0;0.0;1.0	0
untitled_18518	0.0;0.0;3.0;0.0;1.0	0
untitled_18518	0.0;0.0;3.0;0.0;1.0	0
untitled_18479	0.0;0.0;0.0;0.0;0.0	0
untitled_18479	0.0;0.0;0.0;0.0;0.0	0
untitled_18459	0.0;0.0;0.0;0.0;0.0	0
untitled_18459	0.0;0.0;0.0;0.0;0.0	0
Nitrospirota	0.0;0.0;0.0;0.0;0.0	0
Nitrospirota	0.0;0.0;0.0;0.0;0.0	0
untitled_18416	0.0;0.0;1.0;0.0;1.0	0
untitled_18416	0.0;0.0;1.0;0.0;1.0	0
untitled_18413	0.0;0.0;2.0;0.0;1.0	0
untitled_18413	0.0;0.0;2.0;0.0;1.0	0
Nitrospira	0.0;0.0;2.0;0.0;1.0	0
Nitrospira	0.0;0.0;2.0;0.0;1.0	0
untitled_18364	0.0;0.0;0.0;0.0;0.0	0
untitled_18364	0.0;0.0;0.0;0.0;0.0	0
Desulfuromonadota	0.0;0.0;1.0;0.0;0.0	0
Desulfuromonadota	0.0;0.0;1.0;0.0;0.0	0
Geobacterales	0.0;0.0;1.0;0.0;0.0	0
Geobacterales	0.0;0.0;1.0;0.0;0.0	0
untitled_18345	0.0;0.0;1.0;0.0;0.0	0
untitled_18345	0.0;0.0;1.0;0.0;0.0	0
untitled_18340	0.0;0.0;1.0;0.0;0.0	0
untitled_18340	0.0;0.0;1.0;0.0;0.0	0
untitled_18337	0.0;0.0;1.0;0.0;0.0	0
untitled_18337	0.0;0.0;1.0;0.0;0.0	0
untitled_18335	0.0;0.0;1.0;0.0;0.0	0
untitled_18335	0.0;0.0;1.0;0.0;0.0	0
Geobacter_B	0.0;0.0;1.0;0.0;0.0	0
Geobacter_B	0.0;0.0;1.0;0.0;0.0	0
Geobacter	0.0;0.0;1.0;0.0;0.0	0
Geobacter	0.0;0.0;1.0;0.0;0.0	0
untitled_18344	0.0;0.0;1.0;0.0;0.0	0
untitled_18344	0.0;0.0;1.0;0.0;0.0	0
untitled_18343	0.0;0.0;1.0;0.0;0.0	0
untitled_18343	0.0;0.0;1.0;0.0;0.0	0
Pelobacteraceae	0.0;0.0;1.0;0.0;0.0	0
Pelobacteraceae	0.0;0.0;1.0;0.0;0.0	0
Desulfuromonadales	0.0;0.0;1.0;0.0;0.0	0
Desulfuromonadales	0.0;0.0;1.0;0.0;0.0	0
untitled_18320	0.0;0.0;1.0;0.0;0.0	0
untitled_18320	0.0;0.0;1.0;0.0;0.0	0
Pelobacteraceae_A	0.0;0.0;1.0;0.0;0.0	0
Pelobacteraceae_A	0.0;0.0;1.0;0.0;0.0	0
Pelobacter_A	0.0;0.0;2.0;0.0;0.0	0
Pelobacter_A	0.0;0.0;2.0;0.0;0.0	0
untitled_18316	0.0;0.0;1.0;0.0;0.0	0
untitled_18316	0.0;0.0;1.0;0.0;0.0	0
